Topic,Keep,Reason,Question
資料結構 - 動態陣列(Dynamic Array),True,題目敘述清晰，針對動態陣列（Dynamic Array）的時間複雜度觀念（分攤 O(1) vs 最差 O(n)）有正確且深入的區分。選項設計涵蓋常見迷思（如誤以為記憶體可無限原地延伸、混淆分攤複雜度與平均複雜度的定義），具備良好的鑑別度。解析詳盡，正確解釋了幾何級數擴容（Geometric doubling）對於分攤分析的重要性，內容無誤。,"### 題目

關於動態陣列（Dynamic Array，例如 C++ 的 `std::vector` 或 Java 的 `ArrayList`）在尾端新增元素（Append / Push Back）的時間複雜度與運作機制，下列敘述何者最為正確？

(A) 只要透過指標或索引記錄目前的尾端位置，寫入新值時不需移動其他既有元素，因此在任何情況下（Worst-case），時間複雜度皆保證為 $O(1)$。
(B) 當陣列容量（Capacity）不足時，系統會自動在原陣列記憶體的後方直接延伸連續空間，因此不需要搬移原有資料，時間複雜度維持 $O(1)$。
(C) 分攤（Amortized）時間複雜度為 $O(1)$，但在容量不足需擴充（Resizing）時，最差情況（Worst-case）的時間複雜度為 $O(n)$。
(D) 因為擴充容量時需要將舊陣列的 $n$ 個元素全部複製到新陣列，導致該次操作成本極高，因此嚴格來說，其平均時間複雜度應視為 $O(n)$。

***

### 答案：C

***

### 解析

1.  **一般情況（空間足夠）：**
    當動態陣列目前的元素數量（Size）小於其容量（Capacity）時，系統只需將新元素放入下一個可用的記憶體位置並更新計數器，此操作不涉及大量資料搬移，時間複雜度為 $O(1)$。

2.  **最差情況（空間不足）：**
    當 Size 等於 Capacity 時，陣列必須進行擴容（Resizing）。此時系統會配置一塊更大的新記憶體區塊，並將舊陣列中的 $n$ 個元素全部複製過去，最後釋放舊空間。這個複製過程的時間複雜度為 $O(n)$，這也是最差情況（Worst-case）。

3.  **分攤分析（Amortized Analysis）與幾何級數增長：**
    雖然最差情況是 $O(n)$，但擴容操作不會頻繁發生。關鍵在於現代動態陣列的擴容策略通常採用**「倍數成長」**（幾何級數，例如容量變為原本的 1.5 倍或 2 倍），而非固定增加特定數量（算術級數）。
    *   **倍數成長**保證了隨著元素增加，觸發擴容的間隔會越來越長。
    *   將擴容的高成本「分攤」到後續大量的 $O(1)$ 插入操作中，平均下來每次新增的成本仍視為常數。因此，其**分攤時間複雜度**為 $O(1)$。
    *   *補充：若擴容策略是「每次只增加固定 K 個空間」，則分攤時間複雜度會退化成 $O(n)$。*

#### 選項錯誤分析：

*   **(A)** 忽略了「容量不足需擴容」的邊界條件。雖然指標操作是 $O(1)$，但在最差情況下（擴容）需要複製所有元素，故無法保證「任何情況下」皆為 $O(1)$。
*   **(B)** 陣列要求記憶體必須是**連續**的。在記憶體管理中，無法保證原陣列後方剛好有足夠的連續閒置空間可供直接延伸。若後方已被佔用，就必須尋找新的記憶體區塊並進行資料複製。
*   **(D)** 這是對複雜度分析的常見誤解。雖然擴容操作是 $O(n)$，但因為它發生的頻率夠低（由倍數成長策略保證），在分攤分析下，整體的複雜度依然收斂在 $O(1)$，而非 $O(n)$。"
資料工程 - 資料治理(Data Governance),True,題目清楚且準確地定義了「資料血緣 (Data Lineage)」的概念。選項設計合理，能夠有效區分資料血緣與存取控制 (A)、業務詞彙表/資料目錄 (C) 及主數據管理 (D) 等相關但不同的資料治理領域。答案唯一，解析邏輯清晰且正確，具有良好的鑑別度。,"### 題目：
關於「資料血緣（Data Lineage）」在資料工程領域的實務應用，下列敘述何者最為準確？

(A) 指的是資料治理中的存取控制機制，主要負責定義使用者對特定資料表的讀寫權限，以確保資料安全性 (Data Security)。
(B) 指的是追蹤資料從上游 (Upstream) 源頭到下游 (Downstream) 目的地的完整流向，包含欄位級別 (Column-level) 的轉換邏輯與依賴關係，有助於進行影響分析。
(C) 指的是建立企業級的業務詞彙表 (Business Glossary) 與資料目錄，專注於定義數據的商業含義、格式標準與擁有者，旨在解決跨部門的語意歧義。
(D) 指的是確保跨系統間核心資料實體（如客戶、產品）的一致性與唯一性，透過整合建立「黃金紀錄 (Golden Record)」，以解決資料孤島問題。

***

### 答案：B

### 解析：

**資料血緣 (Data Lineage)** 是資料工程與治理中關於「資料流向」與「依賴關係」的核心技術。

*   **(B) 正確**：此選項準確描述了資料血緣的本質。在實務上，資料工程師利用資料血緣來視覺化資料的生命週期。其關鍵價值在於：
    1.  **影響分析 (Impact Analysis)**：當**上游**的資料結構 (Schema) 變更時，能預判哪些**下游**報表或應用程式會受影響。
    2.  **根本原因分析 (Root Cause Analysis)**：當下游數據出錯時，能回溯至源頭找出問題所在的 ETL 環節或欄位轉換邏輯。

*   **(A) 錯誤**：這屬於 **資料存取控制 (Data Access Control)** 或權限管理的範疇，關注的是「誰能使用資料」，而非資料的流向。
*   **(C) 錯誤**：這屬於 **業務詞彙表 (Business Glossary)** 或 **資料目錄 (Data Catalog)** 的靜態定義功能。雖然資料目錄中通常包含血緣資訊，但選項描述側重於「靜態的商業定義與格式」，缺乏血緣最關鍵的「動態流動」與「轉換過程」特徵。
*   **(D) 錯誤**：這屬於 **主數據管理 (Master Data Management, MDM)** 的範疇。MDM 關注的是核心數據（Master Data）在不同系統間的一致性與唯一性（Single Source of Truth），而非追蹤資料的處理路徑與轉換邏輯。"
電腦圖學 - 光照模型(Lighting Models),True,"題目敘述清楚，專有名詞定義準確（Phong Model 中的 L, N, V, R）。各選項考點明確，涵蓋了漫反射的性質（與視角無關）、標準 Phong 鏡面反射的公式計算（R 與 V 的夾角）、環境光的定義及光澤度係數的作用。正確選項 (B) 符合標準 Phong 模型的定義，錯誤選項的設計具有鑑別度且無歧義，解析內容詳盡且正確。","### 題目

在電腦圖學的標準 Phong 光照模型（Standard Phong Reflection Model）中，我們通常定義 $L$ 為指向光源的向量、$N$ 為表面法向量、$V$ 為指向觀察者的視角向量、$R$ 為光的反射向量。關於各光照分量的敘述，下列何者正確？

(A) 漫反射分量（Diffuse Component）遵循 Lambert 定律，其強度取決於視角向量 $V$ 與法向量 $N$ 的夾角，因此從不同角度觀察，物體亮度會有明顯變化
(B) 鏡面反射分量（Specular Component）用於模擬物體表面的高光，在標準 Phong 模型中，其強度計算取決於反射向量 $R$ 與視角向量 $V$ 之間的夾角
(C) 環境光分量（Ambient Component）在模型中主要用於模擬光源的距離衰減，因此物體距離光源越遠，環境光分量的數值會呈現平方反比下降
(D) 鏡面反射的高光範圍（Highlight size）僅由光源強度與物體顏色決定，與物體表面的光澤度係數（Shininess / Specular exponent, $\alpha$）無關

### 答案

**B**

### 解析

*   **(A) 錯誤**：漫反射分量（Diffuse）的計算依據是 **Lambert's Cosine Law**，強度取決於「指向光源向量 $L$」與「法向量 $N$」的夾角（即 $L \cdot N$）。漫反射假設光線均勻向四面八方散射，因此與「視角向量 $V$」**無關**，無論從哪個角度觀看，亮度皆相同。

*   **(B) 正確**：標準 Phong 模型中的鏡面反射（Specular）是用來模擬光滑表面的反光。其計算核心在於「反射向量 $R$」與「視角向量 $V$」的接近程度（即 $R \cdot V$）。當視線 $V$ 越接近反射光方向 $R$ 時，觀察到的高光越強。
    *   *註：若為 Blinn-Phong 模型，則是使用半程向量 $H$ 與法向量 $N$ 的夾角，考生需留意兩者區別。*

*   **(C) 錯誤**：在標準 Phong 模型的公式中，環境光分量（Ambient）通常被視為一個**簡化的全域常數**（Global Constant），用來模擬場景中來自四面八方的間接照明。它不具備方向性，通常也不會針對「環境光項目本身」計算距離衰減（距離衰減通常應用於漫反射與鏡面反射的光源強度項）。

*   **(D) 錯誤**：鏡面反射的高光集中程度（銳利度）與表面的**光澤度係數（Shininess, $\alpha$）**高度相關。公式中的指數項 $(R \cdot V)^\alpha$ 決定了光斑的大小；$\alpha$ 值越大，高光範圍越小且越銳利（模擬金屬或拋光表面）；$\alpha$ 值越小，高光範圍越擴散（模擬塑膠或粗糙表面）。"
演算法 - 圖論(Graph Algorithms)：BFS / DFS,True,題目情境設定明確（非加權圖、最短路徑），考點為經典的演算法特性比較。選項設計合理，涵蓋了常見的觀念迷思（如誤以為 DFS 也能找最短路徑、混淆可達性與最佳解、或誤解空間複雜度對演算法選擇的影響）。標準答案正確，解析邏輯清晰且補充了加權圖的觀念，十分完整。,"### 題目

在一個**非加權（Unweighted）**且連通的圖中，若欲尋找從起點 $S$ 到終點 $T$ 的「最短路徑」（即經過邊數最少的路徑），下列關於廣度優先搜尋（BFS）與深度優先搜尋（DFS）的敘述，何者最正確？

(A) 應使用 DFS，因為 DFS 利用堆疊（Stack）實作，能快速深入圖中尋找目標，效率優於 BFS。
(B) 應使用 BFS，因為 BFS 採層次遍歷（Level-order traversal），保證首次訪問到終點 $T$ 時，即為最短距離。
(C) 兩者皆可，因為在連通圖中，BFS 與 DFS 最終都能遍歷到終點 $T$，故只要能到達終點皆可視為找到最短路徑。
(D) 若圖中含有環（Cycle），BFS 需要消耗大量記憶體來記錄重複路徑否則無法確定最短距離，因此應改用 DFS 求解。

---

### 答案

**B**

---

### 解析

1.  **選項 (A) 錯誤**：
    雖然 DFS 使用堆疊（Stack）或遞迴實作，能迅速深入圖的底部，但它**不保證**找到最短路徑。DFS 可能會沿著一條很深的路徑走到終點，卻忽略了旁邊較短的捷徑。

2.  **選項 (B) 正確**：
    BFS 使用佇列（Queue）實作，特性是「由近而遠」一層一層向外擴展。在非加權圖中，第 $k$ 層的節點一定比第 $k+1$ 層先被訪問，因此當 BFS 第一次遍歷到終點 $T$ 時，該路徑所經過的邊數必定是最少的。
    > **補充**：若圖為**加權圖（Weighted Graph）**，邊的權重不同，則單純的 BFS 失效，需改用 **Dijkstra 演算法**。

3.  **選項 (C) 錯誤**：
    此選項混淆了「可達性（Reachability）」與「最短路徑（Shortest Path）」的概念。雖然兩者都能遍歷到終點（可達），但 DFS 找到的路徑往往不是最短的；只有 BFS 在非加權圖中具備最短路徑的保證。

4.  **選項 (D) 錯誤**：
    無論是 BFS 或 DFS，在處理有環的圖時，標準實作都會使用 `visited` 陣列（或雜湊表）來記錄已訪問節點，以避免無窮迴圈。雖然 BFS 在最壞情況下的空間複雜度確實可能較高（需儲存整層節點），但這並不影響它計算最短距離的正確性，也不構成改用 DFS 的理由（因為 DFS 算不出最短路徑）。"
作業系統 - 檔案系統(File System)：Inode / Journaling,True,題目敘述清楚，考點涵蓋 Inode 結構、Journaling 機制與索引指標效能，觀念正確。選項設計合理且具有鑑別度（例如：清楚區分 Inode 與 Directory Entry 的職責、Journaling 與 LFS 的差異、直接與間接指標的效能比較），答案唯一且解析詳盡準確，適合保留。,"**題目：**
關於作業系統中檔案系統的 **Inode 結構** 與 **Journaling (日誌)** 機制，下列敘述何者**正確**？

(A) 在傳統 Unix-like 檔案系統中，Inode 資料結構除了儲存檔案的權限、擁有者與時間戳記等 Metadata 外，也直接儲存了該檔案的「檔名 (Filename)」。
(B) 日誌式檔案系統 (Journaling File System) 的主要設計目的是為了提升寫入效能，透過將所有資料與 Metadata 僅寫入日誌區 (Journal) 來將隨機寫入轉為循序寫入，而不必再寫回磁碟原始的資料區塊位置。
(C) 採用 Journaling 機制的檔案系統，利用 Write-Ahead Logging (WAL) 概念，在系統崩潰 (Crash) 後重啟時，可透過重播 (Replay) 日誌來快速恢復檔案系統的一致性。
(D) 在採用多層級索引的 Inode 結構中，若要存取大型檔案尾端資料，透過三層間接指標 (Triple Indirect Pointer) 存取資料的效率通常高於直接指標 (Direct Pointer)，因為作業系統會針對深層的間接區塊進行特殊的快取優化與連續配置。

---

**答案：(C)**

**解析：**

*   **(A) 錯誤**：即使是傳統 Unix-like 系統，Inode 也僅儲存檔案的 Metadata（如大小、權限、擁有者、時間戳記、指向資料區塊的指標），**不包含「檔名 (Filename)」**。檔名是儲存在「目錄 (Directory)」的資料項目 (Directory Entry) 中，用來將檔名對應到特定的 Inode Number。
*   **(B) 錯誤**：
    1.  Journaling 的主要目的是**確保一致性 (Consistency) 與加速崩潰恢復 (Recovery)**，而非為了提升效能。事實上，因為資料往往需要寫兩次（先寫日誌，再寫入實際位置），可能會造成寫入放大 (Write Amplification) 而略微降低效能。
    2.  選項描述的「僅寫入日誌區來將隨機寫入轉為循序寫入」比較接近 **Log-Structured File System (LFS)** 的概念，而非一般的 Journaling File System。
*   **(C) 正確**：這即是 Journaling 的核心機制。系統在進行實際更動前，會先將操作記錄在 Journal 中（Write-Ahead Logging）。若系統崩潰，重開機時只需讀取 Journal 並重播未完成的交易 (Transaction)，即可快速恢復一致性，無需掃描整個磁碟。
*   **(D) 錯誤**：
    1.  **直接指標最快**：直接指標 (Direct Pointer) 直接指向資料區塊，僅需一次存取。
    2.  **間接指標較慢**：三層間接指標 (Triple Indirect Pointer) 需要先讀取三層索引區塊 (Index Blocks) 才能找到實際的資料區塊，這意味著需要**更多次的磁碟 I/O (Disk Seeks)**。即使有快取優化，其本質上的存取層級與開銷仍高於直接指標，因此效率較低。"
計算機網路 - CDN 與快取(Cache),True,題目清楚描述了 CDN 與 HTTP 快取機制中的「過期再驗證 (Revalidation)」場景。選項設計合理，涵蓋了穿透、條件式請求、強制更新與忽略過期等邏輯，其中正確答案 (B) 完全符合 HTTP 協定標準 (RFC 7234) 中對於 Stale Content 的處理方式。解析準確地解釋了 304 Not Modified 與頻寬節省的關係，內容正確且具鑑別度。,"**題目：**

關於 CDN (Content Delivery Network) 架構與 HTTP 快取 (Cache) 機制的運作，當使用者向 CDN 的邊緣節點 (Edge Server) 請求一個「TTL (Time To Live) 已經過期」的靜態資源（例如一張圖片）時，在標準的 HTTP 快取驗證機制下，為了確保內容一致性且節省頻寬，下列哪一項敘述最符合標準的處理流程？

(A) 邊緣節點會暫時轉為穿透模式 (Pass-through)，直接將使用者的請求轉發 (Proxy) 給來源伺服器處理，由來源伺服器回應內容，邊緣節點自身不進行任何快取驗證動作。
(B) 邊緣節點會向來源伺服器發送帶有 `If-Modified-Since` 或 `If-None-Match` 標頭的條件式請求 (Conditional Request)，以確認檔案是否真的有更動。
(C) 邊緣節點會判定該檔案已完全失效，直接向來源伺服器發送不帶條件的 GET 請求，重新下載完整的檔案內容並覆蓋舊檔，以確保取得最新版本。
(D) 邊緣節點會自動延長該檔案的 TTL 時間並繼續回傳舊的快取內容，直到來源伺服器主動發送清除快取 (Purge) 請求為止，以減少對來源伺服器的連線請求。

**答案：B**

**解析：**

CDN 的核心功能在於減輕來源伺服器 (Origin Server) 的負擔並加速傳遞。當快取內容的 TTL 過期時，標準的運作機制是進行「快取再驗證 (Revalidation)」，而非直接放棄舊檔或單純轉發。

*   **(B) 正確**：這是標準的協商機制。當 TTL 過期，邊緣節點會發起「條件式請求 (Conditional GET)」。
    *   若來源伺服器驗證後發現檔案**未更動**，會回傳 `HTTP 304 Not Modified`（不含檔案內容），邊緣節點僅需更新 TTL 並繼續使用舊檔，極大地節省頻寬。
    *   若檔案**已更動**，才會回傳 `HTTP 200 OK` 及新檔案。
*   **(A) 錯誤**：雖然 CDN 是反向代理，但在處理靜態快取資源時，若每次過期都直接穿透 (Pass-through) 而不進行驗證，將無法利用快取機制來節省來源伺服器的頻寬與運算資源。
*   **(C) 錯誤**：這是不具效率的做法。若直接重新下載完整檔案 (Unconditional GET)，即便檔案內容根本沒變，也會浪費頻寬傳輸重複的資料。標準做法應先詢問「是否修改」，而非直接「重新抓取」。
*   **(D) 錯誤**：TTL 的設計目的就是定義資料的「新鮮度 (Freshness)」。一旦過期，預設行為必須是向來源伺服器確認有效性（Pull 模式）。依賴來源伺服器主動發送 Purge（Push 模式）通常是作為強制更新的手段，而非處理過期內容的標準預設機制。"
資料工程 - 資料湖(Data Lake) 與 Lakehouse,True,題目敘述清晰，準確考查了 Data Lake 與 Data Lakehouse 的核心架構差異（如 ACID 支援、Schema 策略、運算儲存分離及開放格式）。選項設計具備鑑別度，正確答案唯一（B），且解析詳細並正確地解釋了各選項的技術細節，無邏輯錯誤或歧義。,"### 題目

在現代資料工程架構中，企業常需評估資料湖 (Data Lake) 與資料湖倉 (Data Lakehouse) 的適用性。關於這兩者的架構特性與差異，下列敘述何者**最為正確**？

(A) Data Lake 採用 Schema-on-read（讀取時定義模式）策略，因允許直接存入原始資料，故在資料一致性與 ACID 交易完整性上，天生優於 Data Lakehouse。
(B) 傳統 Data Lake 缺乏對 ACID（原子性、一致性、隔離性、持久性）交易的原生支援，導致資料更新或刪除困難；而 Data Lakehouse 則透過引入中介層解決了此問題。
(C) Data Lakehouse 為了追求查詢效能，捨棄了雲端原生的運算 (Compute) 與儲存 (Storage) 分離特性，強制將兩者緊密耦合。
(D) Data Lakehouse 雖然整合了倉儲的管理能力，但為了優化效能，其底層必須採用封閉的專有格式儲存資料，無法如 Data Lake 般支援開放標準工具的直接存取。

***

**答案：** B

**解析：**

*   **(A) 錯誤**：敘述存在邏輯謬誤。雖然 Data Lake 確實採用 **Schema-on-read** 策略，但這正是導致其容易變成「資料沼澤 (Data Swamp)」且難以保證資料品質的原因。傳統 Data Lake 缺乏強制性的 Schema 驗證與交易機制，因此在一致性與交易完整性上，通常**劣於**具備 ACID 特性的 Data Lakehouse。
*   **(B) 正確**：傳統 Data Lake（如 S3 或 HDFS 上的純檔案堆疊）若遇到寫入失敗或併發操作，容易產生髒資料且難以執行 Update/Delete。Data Lakehouse 透過引入**表格格式 (Table Formats)**（如 Delta Lake, Apache Iceberg, Apache Hudi），在資料湖之上提供了 **ACID 交易保證**、版本控制與 Schema 強制執行能力。
*   **(C) 錯誤**：Data Lakehouse 繼承了現代雲端架構的優勢，通常支援 **運算與儲存分離 (Decoupled Compute and Storage)**。這使得企業可以將資料低成本地存在物件儲存 (Object Storage) 中，並根據運算需求獨立擴充 SQL 引擎或 Spark 叢集，並未強制耦合。
*   **(D) 錯誤**：這是對 Data Lakehouse 常見的誤解。Data Lakehouse 的核心設計理念之一是**開放性**。它通常使用開放標準的檔案格式（如 Parquet, ORC, Avro）以及開放的表格格式（如 Iceberg, Delta Lake），允許各種外部引擎（如 Python, R, Spark, Trino）直接讀取資料，並非封閉格式。"
作業系統 - 虛擬化(Virtualization)：Hypervisor,True,題目敘述清楚，觀念正確。選項涵蓋了 Type 1 與 Type 2 Hypervisor 的定義、效能比較、常見實例與架構差異，且無歧義。解析部分內容詳盡精準，正確指出了各選項的錯誤之處。,"**題目：關於 Hypervisor（虛擬機器監視器，VMM）的分類，特別是 Type 1 (Bare-metal) 與 Type 2 (Hosted) 架構的特性比較，下列敘述何者正確？**

(A) Type 2 Hypervisor 雖運作於 Host OS 之上，但因可直接利用 Host OS 豐富的驅動程式資源，故其 I/O 虛擬化效能通常「優於」Type 1 Hypervisor。
(B) VMware Workstation、Oracle VirtualBox 與 Parallels Desktop 皆屬於 Type 1 Hypervisor 的典型範例。
(C) Type 1 Hypervisor 不需要底層的 Host OS (主機作業系統)，而是直接安裝在硬體上來管理 Guest OS。
(D) Type 1 Hypervisor 必須依賴 Host OS 進行硬體資源的排程與模式切換 (Context Switching)，因此其虛擬化開銷 (Overhead) 較大。

**答案：C**

**解析：**

*   **(A) 錯誤**：雖然 Type 2 Hypervisor 利用 Host OS 的驅動程式可以獲得良好的硬體相容性（方便性），但就「效能」而言，因為 Guest OS 的 I/O 請求必須經過 Host OS 的層層轉換與排程，其效率通常**低於**直接存取硬體的 Type 1 Hypervisor。
*   **(B) 錯誤**：VMware Workstation、Oracle VirtualBox 與 Parallels Desktop 皆屬於 **Type 2 (Hosted)** Hypervisor，它們像一般應用程式一樣安裝在 Windows、Linux 或 macOS 等主機作業系統上。Type 1 的例子包括 VMware ESXi、Microsoft Hyper-V 與 Xen。
    *   *補充說明*：雖然 Microsoft Hyper-V 在 Windows 上啟用，但其架構屬於 Type 1。Hyper-V 啟動後，原本的 Windows 系統會轉變為特權虛擬機 (Parent Partition) 運作於 Hypervisor 之上，而非 Hypervisor 運作於 Windows 之內。
*   **(C) 正確**：Type 1 Hypervisor 又稱為 Bare-metal (裸機) Hypervisor，其特徵就是直接安裝並執行於實體硬體上，本身扮演核心角色來排程與分配資源給虛擬機，無需依賴一般通用的 Host OS。
*   **(D) 錯誤**：選項描述的是 **Type 2 Hypervisor** 的缺點。Type 2 必須透過 Host OS 來管理硬體，涉及額外的指令轉譯、模式切換 (Context Switching) 與排程等待，因此開銷較大。Type 1 因直接控制硬體，去除了 Host OS 中介層，虛擬化開銷 (Overhead) 較小。"
資料庫 - 事件串流(Event Streaming)：Kafka 基礎,True,題目敘述清晰，準確考查了 Apache Kafka 核心架構中的重要觀念（順序性保證、資料保留策略、消費者與分區的對應關係）。選項設計合理，涵蓋了常見的誤區（如全域順序、消費後即刪除、消費者數量配置），且答案唯一，解析內容正確並詳細解釋了每個選項的正確與錯誤原因。,"**題目：在 Apache Kafka 的基礎架構中，關於 Topic（主題）與 Partition（分區）的核心機制與設計特性，下列敘述何者正確？**

(A) Kafka 保證在同一個 Topic 下的所有 Partition 之間，訊息都能維持嚴格的先進先出（FIFO）全域順序。
(B) 當 Consumer 完成消費並確認（Commit）後，Kafka 會立即從磁碟中刪除該訊息，類似傳統訊息隊列的行為。
(C) Kafka 僅保證在同一個 Partition 內的訊息具有嚴格的順序性，無法保證跨 Partition 的全域順序。
(D) 為了最大化單一 Consumer Group 的消費效能，群組內的 Consumer 實例（Instance）數量應多於 Partition 的數量。

**答案：C**

**解析：**

*   **(A) 錯誤**：Kafka 的設計是為了高吞吐量與水平擴展，它只保證在**單一 Partition** 內的訊息是透過 Offset 有序排列的。若一個 Topic 擁有多個 Partition，Kafka 預設並不保證跨 Partition 之間的讀取順序（即無法達成全域 FIFO）。
*   **(B) 錯誤**：Kafka 的設計本質是一個**分散式提交日誌（Distributed Commit Log）**。訊息的刪除機制是基於**保留策略（Retention Policy）**（例如：保留 7 天或日誌大小達 1GB），這與 Consumer 是否已消費（Commit）無關。這使得多個 Consumer Group 可以重複消費同一份數據。
*   **(C) 正確**：這是 Kafka 的核心特性。生產者寫入訊息時，訊息會被追加到 Partition 的尾端，因此在該 Partition 內是有序的（稱為**偏序**或局部有序）。若應用場景需要 Topic 層級的**全序（Total Order）**，則該 Topic 只能設定 1 個 Partition，但這會犧牲並行處理能力。
*   **(D) 錯誤**：Kafka 的**並行度（Parallelism）**受限於 Partition 的數量。在同一個 Consumer Group 中，一個 Partition 同一時間只能分配給一個 Consumer。若 Consumer 數量多於 Partition 數量，多出來的 Consumer 將會處於閒置狀態，無法提升消費速度。增加 Partition 數量才是提高並行處理能力的關鍵。"
計算機網路 - ARP / DHCP / DNS,True,題目情境設定完整，考點涵蓋網路基礎協定（DHCP、DNS、ARP）的運作順序與層級觀念。選項設計包含常見迷思（如 ARP 跨網段、DNS 傳輸層協定選擇），具有鑑別度。答案唯一且解析邏輯正確清晰。,"**題目：**

一台剛開機且尚未設定靜態 IP 的主機，使用者開啟瀏覽器欲連線至 `www.example.com`。針對此連線建立過程中 ARP、DHCP 與 DNS 的運作機制，下列敘述何者**正確**？

(A) 當主機欲傳送 HTTP 封包給位於**不同網段**的 `www.example.com` 伺服器時，主機會發送 ARP Request 直接查詢該 Web 伺服器 IP 所對應的 MAC 位址。
(B) DNS 協定雖運作於應用層（Application Layer），但瀏覽器為了確保解析 `www.example.com` 的可靠性，發出的 DNS Query 封包**必定**使用 TCP port 53 建立連線。
(C) 依據協定運作順序，主機必須先透過 DHCP 取得本機 IP、預設閘道器（Default Gateway）與 DNS 伺服器 IP 等資訊，接著才能發送 DNS 封包進行網域名稱解析。
(D) 若 DHCP 分配的 DNS 伺服器位於**外部網路**，主機在進行網域名稱解析時，會發送 ARP Request 直接查詢該 DNS 伺服器 IP 的 MAC 位址，以利封包傳送。

**答案：** C

**解析：**

*   **(A) 錯誤**：ARP 是 Layer 2 的廣播協定，**無法跨越路由器**。當目的地（Web 伺服器）位於不同網段時，主機發送 ARP Request 的對象是**預設閘道器（Default Gateway）**的 IP，目的是取得路由器的 MAC 位址，由路由器協助轉送，而非直接查詢遠端伺服器的 MAC。
*   **(B) 錯誤**：雖然 DNS 運作於應用層，但一般的用戶端查詢（Standard Query）為了效率，預設是使用 **UDP port 53**。只有在區域傳送（Zone Transfer）或回應封包超過 512 bytes 等特定情況下，才會改用 TCP。因此「必定使用 TCP」的敘述不正確。
*   **(C) 正確**：這是正確的連線建立邏輯。剛開機的主機沒有 IP 無法通訊，因此需先由 **DHCP**（應用層，底層為 UDP）取得 IP、Subnet Mask、Default Gateway 及 DNS Server IP。取得這些參數後，主機才知道該向哪個 IP 發送 DNS Query，以及如何透過 Gateway 連網。
*   **(D) 錯誤**：此選項犯了與 (A) 相同的邏輯錯誤。若 DNS 伺服器位於外部網路（不同網段），主機**不能**直接對其發送 ARP Request（因為廣播傳不出去）。主機實際上是對**預設閘道器**發送 ARP Request，將封包封裝成指向 Gateway MAC 的 Frame，再由 Gateway 轉送到外部網路的 DNS 伺服器。"
軟體安全 - 靜態分析(Static Analysis),True,題目觀念正確且具深度。選項清楚區分了靜態分析（SAST）與動態分析（DAST）的差異，特別是關於「過度近似（Over-approximation）」與「誤報（False Positives）」的理論描述非常精確。各選項誘答性合理，答案唯一，解析詳盡且正確。,"**題目：關於軟體安全測試中的靜態分析（Static Analysis / SAST），下列敘述何者正確？**

(A) 靜態分析需將應用程式部署於沙盒（Sandbox）或虛擬機環境中實際執行，並藉由監控系統呼叫（System Calls）來判斷是否發生異常行為。
(B) 由於無法在編譯階段完全預知程式執行時期的所有狀態，工具通常採取保守策略進行過度近似（Over-approximation），導致實務上容易產生誤報（False Positives）。
(C) 靜態分析雖能檢測原始碼結構，但因缺乏實際運行的執行環境，故無法進行跨函式（Inter-procedural）或跨檔案的資料流追蹤，僅能針對單一函式內部的邏輯進行掃描。
(D) 與動態分析（Dynamic Analysis）相比，靜態分析在處理依賴外部環境變數或複雜指標運算（Pointer Arithmetic）的場景時，更能精確掌握實際的記憶體位址與數值。

**答案：B**

**解析：**

*   **(A) 錯誤**：這是 **動態分析（Dynamic Analysis）** 或沙盒測試的特徵。靜態分析的核心定義是在「不執行程式碼」的情況下進行檢測。
*   **(B) 正確**：受限於不可判定性問題（如萊斯定理 Rice's Theorem），沒有演算法能完美判定任意程式的所有非顯然屬性。為了不遺漏潛在漏洞，SAST 工具通常採用保守策略（Conservative Strategy），這會導致將部分安全的程式碼標記為有風險，即產生 **誤報（False Positives）**。
*   **(C) 錯誤**：現代成熟的靜態分析工具具備 **跨函式（Inter-procedural）** 與跨檔案分析的能力。它們能夠建立控制流圖（CFG）與資料流圖（DFG），追蹤受汙染資料（Tainted Data）如何在不同函式與模組間傳遞，並非僅限於單一函式分析。
*   **(D) 錯誤**：靜態分析的弱點在於無法得知「執行時期的具體數值」。對於高度依賴外部輸入、動態記憶體配置或複雜指標運算的場景，**動態分析** 因為能觀測實際運行狀態，其解析能力比靜態分析更為精準。"
